_id,branch,slot,sem,subcode[0],subcode[1],subcode[2],subcode[3],subcode[4],subcode[5],subcode[6]
645532886c991f17286e2535,AD,D,3,CST205,,,,,,
645532886c991f17286e2531,CA,F,3,MCN201,,,,,,
645532886c991f17286e252d,CA,B,3,CST201,,,,,,
645532886c991f17286e2528,CS,C,3,CST203,,,,,,
645532886c991f17286e253f,EE,B,3,EET201,,,,,,
645532886c991f17286e2526,CS,A,3,MAT203,,,,,,
645532886c991f17286e252c,CA,A,3,MAT203,,,,,,
645532886c991f17286e2553,ME,D,3,MET205,,,,,,
645532886c991f17286e2581,ME,B,4,MET202,,,,,,
645532886c991f17286e25db,CE,B,6,CET304,,,,,,
645532886c991f17286e25e3,ME,D,6,MET312,MET322,MET332,MET342,MET352,MET362,MET372
645532886c991f17286e2608,CS,C,8,CST416,CST426,CST436,CST446,CST466,CST476,
645532886c991f17286e2625,ME,D,8,MET418,MET428,MET438,MET448,MET458,MET468,MET478
645532886c991f17286e2636,CC,B,1,PHT100,CYT100,,,,,
645532886c991f17286e263d,EE,D,1,EST120,EST130,,,,,
645532886c991f17286e264a,ME,B,1,PHT100,CYT100,,,,,
645532886c991f17286e2663,CC,D,2,EST120,EST130,,,,,
645532886c991f17286e2671,EC,F,2,EST102,,,,,,
645532886c991f17286e267a,ME,C,2,EST100,EST110,,,,,
645532886c991f17286e2542,EE,E,3,EST200,HUT200,,,,,
645532886c991f17286e2556,CS,A,4,MAT206,,,,,,
645532886c991f17286e256b,CC,D,4,CST206,,,,,,
645532886c991f17286e2584,ME,E,4,EST200,HUT200,,,,,
645532886c991f17286e2597,AD,F,5,MCN301,,,,,,
645532886c991f17286e259c,CC,E,5,CST309,,,,,,
645532886c991f17286e259d,CC,F,5,MCN301,,,,,,
645532886c991f17286e25a2,EE,E,5,HUT300,HUT310,,,,,
645532886c991f17286e25bf,CA,D,6,CAT312,AIT322,CST332,CST342,AIT352,AIT362,AIT372
645532886c991f17286e25f4,CC,C,7,CST415,CST425,CST435,CST445,CST455,,
645532886c991f17286e25fb,EC,B,7,ECT413,ECT423,ECT433,ECT443,ECT453,ECT463,ECT473
645532886c991f17286e25ff,CE,B,7,CET413,CET423,CET433,CET443,CET453,CET463,CET473
645532886c991f17286e2603,ME,B,7,MET413,MET423,MET433,MET443,MET453,MET463,MET473
645532886c991f17286e2605,ME,D,7,MCN401,,,,,,
645532886c991f17286e2606,CS,A,8,CST 402,,,,,,
645532886c991f17286e2609,CS,D,8,CST418,CST428,CST438,CST448,CST458,CST468,CST478
645532886c991f17286e2615,CC,D,8,CST418,CST428,CST438,CST448,CST458,CST468,CST478
645532886c991f17286e2621,CE,D,8,CET418,CET428,CET438,CET448,CET458,CET468,CET478
645532886c991f17286e2626,CS,A,1,MAT101,,,,,,
645532886c991f17286e262d,CA,C,1,EST100,EST110,,,,,
645532886c991f17286e262f,CA,E,1,HUN101,,,,,,
645532886c991f17286e2638,CC,D,1,EST120,EST130,,,,,
645532886c991f17286e2543,EE,F,3,MCN201,,,,,,
645532886c991f17286e254d,CE,D,3,CET205,,,,,,
645532886c991f17286e2550,ME,A,3,MAT201,,,,,,
645532886c991f17286e2554,ME,E,3,EST200,HUT200,,,,,
645532886c991f17286e256c,CC,E,4,EST200,HUT200,,,,,
645532886c991f17286e256f,EE,B,4,EET202,,,,,,
645532886c991f17286e2580,ME,A,4,MAT202,,,,,,
645532886c991f17286e2590,CA,E,5,CST309,,,,,,
645532886c991f17286e2591,CA,F,5,MCN301,,,,,,
645532886c991f17286e259a,CC,C,5,CCT305,,,,,,
645532886c991f17286e259f,EE,B,5,EET303,,,,,,
645532886c991f17286e25a4,EC,A,5,ECT301,,,,,,
645532886c991f17286e25ae,CE,E,5,CET309,,,,,,
645532886c991f17286e25d9,EC,F,6,ECT308,,,,,,
645532886c991f17286e25df,CE,F,6,CET308,,,,,,
